genome_id,clade_id
72407.1818,1
72407.1820,2
72407.591,3
72407.670,4
72407.1791,5
72407.1792,5
72407.1769,6
72407.1835,7
72407.1803,8
72407.1806,8
72407.1826,8
72407.1815,9
72407.1840,10
72407.1772,11
72407.1838,12
72407.1844,13
72407.1775,14
72407.1845,15
72407.695,16
72407.527,17
72407.530,17
72407.1833,18
72407.1842,19
72407.1779,20
72407.595,21
72407.553,22
72407.556,22
72407.597,22
72407.1821,23
72407.1764,24
72407.1804,25
72407.647,26
72407.481,27
72407.483,27
72407.484,27
72407.485,27
72407.487,27
72407.489,27
72407.494,27
72407.497,27
72407.499,27
72407.503,27
72407.506,27
72407.508,27
72407.532,27
72407.534,27
72407.538,27
72407.539,27
72407.541,27
72407.543,27
72407.544,27
72407.545,27
72407.548,27
72407.551,27
72407.554,27
72407.558,27
72407.565,27
72407.568,27
72407.571,27
72407.573,27
72407.575,27
72407.585,27
72407.586,27
72407.587,27
72407.593,27
72407.519,28
72407.521,28
72407.531,28
72407.581,28
72407.1755,29
72407.1807,29
72407.1808,30
72407.1822,31
72407.529,32
72407.491,33
72407.492,33
72407.1834,34
72407.1836,35
72407.1843,36
72407.1837,37
72407.1839,38
72407.1771,39
72407.1823,40
72407.570,41
72407.589,42
72407.596,42
72407.505,43
72407.488,44
72407.1784,45
72407.1799,46
72407.1798,47
72407.672,48
72407.1800,49
72407.1828,50
72407.1847,51
72407.1817,52
72407.1761,53
72407.1782,54
72407.1819,55
72407.1795,56
72407.1812,56
72407.479,56
72407.513,56
72407.496,57
72407.510,57
72407.498,58
72407.507,58
72407.515,58
72407.540,58
72407.550,58
72407.560,58
72407.566,58
72407.580,58
72407.590,58
72407.594,58
72407.549,59
72407.577,60
72407.542,61
72407.546,61
72407.547,61
72407.552,61
72407.478,62
72407.480,62
72407.482,62
72407.502,62
72407.555,63
72407.557,63
72407.559,63
72407.698,63
72407.1773,64
72407.514,64
72407.516,64
72407.518,64
72407.525,64
72407.526,64
72407.588,64
72407.1778,65
72407.1810,66
72407.1767,67
72407.652,68
72407.684,68
72407.703,68
72407.1774,69
72407.1788,70
72407.477,71
72407.490,71
72407.500,71
72407.512,71
72407.563,71
72407.567,71
72407.1825,72
72407.582,73
72407.583,73
72407.1768,74
72407.501,75
72407.1765,76
72407.1827,77
72407.520,78
72407.533,78
72407.1766,79
72407.1824,79
72407.682,80
72407.1805,81
72407.536,82
72407.537,82
72407.1437,83
72407.1438,83
72407.1439,83
72407.1440,83
72407.183,84
72407.200,84
72407.255,84
72407.264,84
72407.150,85
72407.151,85
72407.158,85
72407.164,85
72407.166,85
72407.167,85
72407.180,85
72407.189,85
72407.192,85
72407.193,85
72407.206,85
72407.215,85
72407.222,85
72407.228,85
72407.229,85
72407.234,85
72407.235,85
72407.238,85
72407.239,85
72407.241,85
72407.243,85
72407.244,85
72407.246,85
72407.250,85
72407.251,85
72407.253,85
72407.254,85
72407.260,85
72407.262,85
72407.266,85
72407.267,85
72407.273,85
72407.148,86
72407.172,86
72407.178,86
72407.236,86
72407.252,86
72407.152,87
72407.153,87
72407.168,87
72407.170,87
72407.171,87
72407.175,87
72407.179,87
72407.186,87
72407.191,87
72407.194,87
72407.197,87
72407.199,87
72407.203,87
72407.204,87
72407.205,87
72407.211,87
72407.217,87
72407.219,87
72407.221,87
72407.224,87
72407.227,87
72407.237,87
72407.240,87
72407.242,87
72407.247,87
72407.248,87
72407.249,87
72407.256,87
72407.257,87
72407.258,87
72407.259,87
72407.261,87
72407.263,87
72407.265,87
72407.268,87
72407.270,87
72407.271,87
72407.693,87
72407.165,88
72407.196,89
72407.1602,90
72407.1780,91
72407.1436,92
72407.1435,93
72407.584,94
72407.522,95
72407.523,95
72407.1811,96
72407.486,97
72407.504,97
72407.569,97
72407.574,97
72407.576,97
72407.579,97
72407.1786,98
72407.1841,99
72407.1809,100
72407.1802,101
72407.1793,102
72407.535,103
72407.1831,104
72407.1777,105
72407.562,106
72407.578,106
72407.1763,107
72407.1816,108
72407.1813,109
72407.1797,110
72407.1789,111
72407.1781,112
72407.1790,113
72407.272,114
